feature_n,variable,value
20.0,svm,0.8806514324336565
20.0,svm,0.8719452590420332
20.0,svm,0.8755896020743141
10.0,svm,0.8343726866475721
10.0,svm,0.8377126099706745
10.0,svm,0.8538373415530683
10.0,svm,0.8560049120609229
10.0,svm,0.8563073695253082
10.0,svm,0.8240469208211143
10.0,svm,0.8486755835300289
10.0,svm,0.8469498027773273
10.0,svm,0.8054838709677418
10.0,svm,0.8630554204715333
10.0,svm,0.8532619933829612
10.0,svm,0.860175650064144
10.0,svm,0.8734969190789668
10.0,svm,0.8563073695253082
10.0,svm,0.860530638317288
10.0,svm,0.8539662756598241
10.0,svm,0.8343726866475721
10.0,svm,0.8734511489035486
10.0,svm,0.8774824303090697
10.0,svm,0.8100875379101186
10.0,svm,0.8623973607038123
10.0,svm,0.8414690069576217
10.0,svm,0.8298900293255131
10.0,svm,0.8658193629082692
10.0,svm,0.8527855089656431
10.0,svm,0.8386478645721728
10.0,svm,0.860175650064144
10.0,svm,0.8283023556515843
10.0,svm,0.8619151056420822
10.0,svm,0.8377126099706745
10.0,svm,0.886109587098267
10.0,svm,0.8414690069576217
10.0,svm,0.8846299810246678
10.0,svm,0.8688552735198725
10.0,svm,0.8048760313905869
10.0,svm,0.8619151056420822
10.0,svm,0.8458865597715529
10.0,svm,0.8446607920636876
10.0,svm,0.8427050029766499
10.0,svm,0.8783259247647732
10.0,svm,0.8619151056420822
10.0,svm,0.8462426030626207
10.0,svm,0.8783259247647732
10.0,svm,0.8936855894858012
10.0,svm,0.8584123972169512
10.0,svm,0.854811692872967
10.0,svm,0.8354356217259444
10.0,svm,0.8846375957800576
10.0,svm,0.7973826979472141
10.0,svm,0.8486755835300289
10.0,svm,0.8846375957800576
10.0,svm,0.8753313562912304
10.0,svm,0.8484101735704749
10.0,svm,0.8364802940643185
10.0,svm,0.8271703718708326
10.0,svm,0.8500384024577572
10.0,svm,0.8059546399204843
10.0,svm,0.8383285108390298
10.0,svm,0.8693632036014662
10.0,svm,0.855979146301727
10.0,svm,0.8439529436814649
10.0,svm,0.8458865597715529
10.0,svm,0.8207443067190612
10.0,svm,0.8414690069576217
10.0,svm,0.8457402812241523
10.0,svm,0.8315318041517883
10.0,svm,0.8678826260692291
10.0,svm,0.8321948134092346
10.0,svm,0.8343726866475721
10.0,svm,0.8173128847607734
10.0,svm,0.8143880247735481
10.0,svm,0.8462426030626207
10.0,svm,0.855979146301727
10.0,svm,0.8410437975347494
10.0,svm,0.8534446087040758
10.0,svm,0.8938932494317611
10.0,svm,0.8507432005060088
